label,int_cnt,int_pct,comb_cnt,comb_pct,level
01 natural sciences,15848,36.746429233908366,16115,36.363020962610285,detail
0101 mathematics,1942,4.502875162307549,2009,4.533249091770653,detail
0102 computer and information sciences,502,1.1639769987015396,517,1.1665952117697498,detail
0103 physical sciences,6643,15.402986458913004,6755,15.242457747591217,detail
0104 chemical sciences,2953,6.847059914672602,2981,6.72653834871494,detail
0105 earth and related environmental sciences,2931,6.7960489705063996,2977,6.71751246699912,detail
0106 biological sciences,2014,4.66982007048785,2043,4.6099690863551235,detail
02 engineering and technology,9020,20.914487108143202,9223,20.81142676625223,detail
0201 civil engineering,236,0.5472083101465406,243,0.5483223142360719,detail
"0202 electrical engineering, electronic engineering, information engineering",4481,10.390001854943424,4594,10.366225150619401,detail
0203 mechanical engineering,724,1.6787237989241328,730,1.6472234131371708,detail
0204 chemical engineering,126,0.2921535893155259,127,0.2865717444772886,detail
0205 materials engineering,38,0.08810981265071416,38,0.08574587630029108,detail
0206 medical engineering,195,0.45214245965498057,203,0.45806349707787075,detail
0207 environmental engineering,156,0.3617139677239844,158,0.3565223277748945,detail
0208 environmental biotechnology,68,0.1576701910591727,69,0.15569645959789696,detail
0209 industrial biotechnology,733,1.6995919124466703,757,1.7081481147189566,detail
0210 nano-technology,2209,5.12196253014283,2240,5.054493760859264,detail
0211 other engineering and technologies,1758,4.07623817473567,1800,4.061646772119051,detail
03 medical and health sciences,20885,48.425616768688556,21594,48.72622244285489,detail
0301 basic medicine,10184,23.613429790391393,10394,23.453753638558567,detail
0302 clinical medicine,12696,29.437952142459658,13250,29.898233183654128,detail
0303 health sciences,5924,13.735856056390281,6029,13.604260216169866,detail
0305 other medical science,130,0.3014283064366537,138,0.3113929191957939,detail
04 agricultural and veterinary sciences,1716,3.9788536449638285,1785,4.027799715684726,detail
"0401 agriculture, forestry, and fisheries",489,1.1338341680578743,498,1.1237222736196042,detail
0402 animal and dairy science,272,0.6306807642366908,281,0.634068190536363,detail
0403 veterinary science,715,1.6578556854015953,763,1.7216869372926868,detail
0404 agricultural biotechnology,396,0.9181969949916527,406,0.9161269941557415,detail
0405 other agricultural sciences,247,0.5727137822296421,254,0.5731434889545772,detail
05 social sciences,2239,5.191522908551289,2339,5.277884333325812,detail
0501 psychology and cognitive sciences,920,2.133184937859395,947,2.136877496220412,detail
0502 economics and business,1046,2.425338527174921,1099,2.4798610014215763,detail
0503 education,123,0.28519755147468007,125,0.2820588036193786,detail
0504 sociology,14,0.03246150992394732,16,0.03610352686328046,detail
0505 law,8,0.01854943424225561,8,0.01805176343164023,detail
0506 political science,102,0.23650528658875902,111,0.25046821761400817,detail
0507 social and economic geography,77,0.17853830458171024,82,0.18503057517431235,detail
0508 media and communications,43,0.0997032090521239,50,0.11282352144775143,detail
0509 other social sciences,54,0.12520868113522537,56,0.12636234402148158,detail
06 humanities and the arts,471,1.0920979410127991,488,1.101157569330054,detail
0601 history and archaeology,354,0.8208124652198109,364,0.8213552361396305,detail
0602 languages and literature,58,0.13448339825635316,62,0.1399011665952118,detail
"0603 philosophy, ethics and religion",52,0.12057132257466147,56,0.12636234402148158,detail
0604 arts,18,0.041736227045075125,18,0.04061646772119051,detail
01,32833,76.12919680949732,33397,75.35934291581108,L2
02,19744,45.78000370988685,20182,45.54008619717039,L2
03,49819,115.51428306436652,51405,115.99386240043323,L2
04,3835,8.892135039881284,3987,8.996547600243698,L2
05,4626,10.726210350584306,4833,10.905521583139652,L2
06,953,2.2097013541086996,988,2.2293927838075684,L2
